Rk,Year,G#,Week,Result,Pass Cmp%,Pass Yds,Pass TD,Fumb Fmb,Fumb FL
1,2015,1,1,L,48.48,210,2,2,0
2,2015,2,2,W,66.67,207,1,1,1
3,2015,3,3,L,47.22,261,1,0,0
4,2015,4,4,L,60.47,287,2,0,0
5,2015,5,5,W,68.42,209,1,0,0
6,2015,6,7,L,72.41,297,2,1,0
7,2015,7,8,W,55.17,177,1,0,0
8,2015,8,9,L,52.78,247,0,0,0
9,2015,9,10,W,56.41,264,0,0,0
10,2015,10,11,W,65.52,246,5,1,0
11,2015,11,12,L,55.56,245,1,0,0
12,2015,12,13,W,66.67,227,1,0,0
13,2015,13,14,L,56.25,182,1,0,0
14,2015,14,15,L,58.00,363,2,1,1
15,2015,15,16,L,51.72,295,2,0,0
16,2015,16,17,L,61.70,325,0,0,0
17,2016,1,1,W,71.88,281,4,0,0
18,2016,2,2,L,51.92,243,1,1,1
19,2016,3,3,L,62.07,405,3,1,1
20,2016,4,4,L,48.57,179,0,1,0
21,2016,5,5,W,60.00,219,1,1,0
22,2016,6,7,W,70.00,269,3,0,0
23,2016,7,8,L,50.00,180,2,0,0
24,2016,8,9,L,62.16,261,3,1,1
25,2016,9,10,W,69.70,312,2,0,0
26,2016,10,11,W,61.54,331,1,2,1
27,2016,11,12,W,75.00,220,2,0,0
28,2016,12,13,W,66.67,280,1,0,0
29,2016,13,14,W,61.54,184,0,0,0
30,2016,14,15,L,48.57,247,2,2,1
31,2016,15,16,L,65.71,277,2,0,0
32,2016,16,17,W,57.14,202,1,1,1
33,2017,1,2,W,60.00,204,1,0,0
34,2017,2,3,L,70.00,328,2,2,0
35,2017,3,4,W,57.89,332,3,1,0
36,2017,4,5,L,56.52,334,1,2,0
37,2017,5,6,L,50.00,61,0,0,0
38,2017,6,7,L,72.73,384,3,2,1
39,2017,7,8,L,55.26,210,0,1,1
40,2017,8,9,L,53.85,67,0,0,0
41,2017,9,10,W,Inac,Inac,Inac,Inac,Inac
42,2017,10,11,W,Inac,Inac,Inac,Inac,Inac
43,2017,11,12,L,Inac,Inac,Inac,Inac,Inac
44,2017,12,13,L,65.63,270,2,2,1
45,2017,13,14,L,68.42,285,2,1,1
46,2017,14,15,L,77.14,299,3,1,0
47,2017,15,16,L,77.78,367,1,3,3
48,2017,16,17,W,54.90,363,1,0,0
49,2018,1,1,W,Susp,Susp,Susp,Susp,Susp
50,2018,2,2,W,Susp,Susp,Susp,Susp,Susp
51,2018,3,3,L,Susp,Susp,Susp,Susp,Susp
52,2018,4,4,L,80.00,145,1,0,0
53,2018,5,6,L,73.17,395,4,2,0
54,2018,6,7,W,61.54,365,0,2,1
55,2018,7,8,L,51.43,276,1,0,0
56,2018,8,9,L,Did,Did,Did,Did,Did
57,2018,9,10,L,Did,Did,Did,Did,Did
58,2018,10,11,L,75.00,199,2,1,0
59,2018,11,12,W,76.32,312,2,0,0
60,2018,12,13,W,66.67,249,2,0,0
61,2018,13,14,L,47.37,213,2,0,0
62,2018,14,15,L,52.00,157,0,0,0
63,2018,15,16,L,70.83,336,1,2,2
64,2018,16,17,L,62.86,345,4,0,0
65,2019,1,1,L,55.56,194,1,2,0
66,2019,2,2,W,64.00,208,1,0,0
67,2019,3,3,L,62.16,380,3,0,0
68,2019,4,4,W,68.29,385,4,0,0
69,2019,5,5,L,55.56,204,2,1,0
70,2019,6,6,L,55.56,400,1,2,1
71,2019,7,8,L,48.84,301,2,3,2
72,2019,8,9,L,65.91,335,2,1,1
73,2019,9,10,W,62.50,358,1,1,0
74,2019,10,11,L,58.82,313,2,1,0
75,2019,11,12,W,64.29,313,3,0,0
76,2019,12,13,W,63.64,268,0,1,1
77,2019,13,14,W,73.33,456,4,0,0
78,2019,14,15,W,66.67,458,4,0,0
79,2019,15,16,L,52.08,335,1,0,0
80,2019,16,17,L,54.17,201,2,0,0